question_id,correct_answer,V0_pred,V0_correct,V0_conf,V1_pred,V1_correct,V1_conf,V2_pred,V2_correct,V2_conf,V3_pred,V3_correct,V3_conf,V4_pred,V4_correct,V4_conf
q0000,C,B,False,0.9,B,False,1.0,B,False,0.95,B,False,0.95,B,False,0.85
q0001,E,B,False,0.9,D,False,0.8,C,False,0.95,E,True,0.85,E,True,0.95
q0002,C,C,True,0.9,C,True,0.9,C,True,0.85,B,False,0.85,C,True,0.95
q0003,D,B,False,0.9,D,True,0.9,B,False,0.95,B,False,0.85,A,False,0.95
q0004,B,B,True,0.9,B,True,0.9,B,True,0.95,A,False,0.95,B,True,0.85
q0005,E,C,False,0.9,C,False,0.9,C,False,0.95,B,False,0.85,C,False,0.95
q0006,D,B,False,0.8,B,False,0.9,B,False,0.85,B,False,0.95,A,False,0.95
q0007,C,C,True,0.9,D,False,0.9,D,False,0.85,D,False,0.95,D,False,0.95
q0008,C,C,True,0.9,C,True,1.0,C,True,0.95,C,True,0.95,C,True,0.95
q0009,A,A,True,0.9,A,True,0.8,A,True,0.95,A,True,0.85,E,False,0.8
q0010,E,E,True,0.9,E,True,0.8,B,False,0.95,E,True,0.95,E,True,0.95
q0011,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.95
q0012,B,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95,B,True,0.95
q0013,E,E,True,0.8,B,False,0.9,A,False,0.95,B,False,0.85,E,True,0.95
q0014,D,D,True,0.9,D,True,0.9,C,False,0.85,E,False,0.85,D,True,0.95
q0015,B,B,True,0.8,B,True,0.8,C,False,0.95,B,True,0.85,B,True,0.95
q0016,E,D,False,0.9,E,True,0.9,E,True,0.95,E,True,0.95,D,False,0.95
q0017,E,E,True,1.0,C,False,1.0,A,False,0.95,A,False,0.95,A,False,0.95
q0018,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,A,False,0.95
q0019,E,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.85,C,False,0.95
q0020,C,C,True,0.9,E,False,0.9,A,False,0.85,C,True,0.85,A,False,0.85
q0021,A,B,False,0.9,C,False,0.9,C,False,0.95,A,True,0.8,E,False,0.95
q0022,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.95,B,False,0.95
q0023,E,B,False,0.9,B,False,0.85,B,False,0.95,B,False,0.85,B,False,0.85
q0024,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.85,A,True,0.95
q0025,E,E,True,0.9,E,True,0.9,D,False,0.95,E,True,0.95,D,False,0.95
q0026,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.85,E,True,0.95
q0027,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0028,D,D,True,0.9,D,True,0.9,D,True,0.95,B,False,0.85,B,False,0.95
q0029,D,D,True,0.9,D,True,0.9,A,False,0.95,A,False,0.95,A,False,0.95
q0030,E,E,True,0.9,E,True,0.9,C,False,0.95,C,False,0.85,E,True,0.85
q0031,C,D,False,0.9,C,True,0.9,D,False,0.95,D,False,0.95,D,False,0.95
q0032,E,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.95,C,False,0.95
q0033,B,E,False,0.9,E,False,0.9,E,False,0.95,D,False,0.85,E,False,0.95
q0034,B,A,False,0.8,B,True,0.9,A,False,0.85,B,True,0.85,A,False,0.95
q0035,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.85,A,True,0.95
q0036,E,D,False,0.9,D,False,0.9,A,False,0.95,D,False,0.95,D,False,0.95
q0037,A,A,True,0.9,A,True,0.9,A,True,0.85,A,True,0.95,A,True,0.99
q0038,E,E,True,0.8,A,False,0.9,E,True,0.85,A,False,0.8,E,True,0.95
q0039,A,A,True,0.9,C,False,0.9,B,False,0.85,B,False,0.85,A,True,0.95
q0040,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.95
q0041,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0042,A,A,True,0.9,A,True,0.9,A,True,0.85,A,True,0.0,A,True,0.95
q0043,C,B,False,0.9,D,False,1.0,D,False,0.95,B,False,0.95,C,True,0.95
q0044,B,D,False,0.9,D,False,0.9,C,False,0.9,B,True,0.85,B,True,0.85
q0045,E,E,True,0.9,C,False,0.9,C,False,0.95,C,False,0.85,E,True,0.95
q0046,C,B,False,0.9,C,True,0.95,A,False,0.95,E,False,0.85,B,False,0.6
q0047,A,A,True,0.9,D,False,0.8,E,False,0.95,A,True,0.95,A,True,0.95
q0048,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0049,D,E,False,0.9,E,False,0.95,B,False,0.95,E,False,0.85,E,False,0.95
q0050,E,E,True,0.9,E,True,1.0,E,True,0.9,E,True,0.95,E,True,0.95
q0051,A,A,True,0.8,E,False,0.9,A,True,0.95,D,False,0.85,D,False,0.95
q0052,D,D,True,0.9,D,True,0.9,D,True,0.85,B,False,0.85,B,False,0.95
q0053,D,C,False,0.9,C,False,0.8,C,False,0.95,C,False,0.95,C,False,0.95
q0054,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0055,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0056,C,C,True,0.9,C,True,0.8,C,True,0.85,A,False,0.85,C,True,0.95
q0057,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.85,B,True,0.95
q0058,C,C,True,0.9,A,False,0.5,B,False,0.95,C,True,0.95,B,False,0.95
q0059,A,C,False,0.9,C,False,0.8,E,False,0.95,C,False,0.95,E,False,0.95
q0060,D,D,True,0.95,D,True,0.9,D,True,0.85,D,True,0.95,D,True,0.85
q0061,A,A,True,0.9,A,True,0.9,A,True,0.95,E,False,0.85,A,True,0.95
q0062,D,D,True,1.0,A,False,0.9,D,True,0.95,B,False,0.85,A,False,0.95
q0063,A,A,True,0.9,E,False,0.9,A,True,0.95,E,False,0.85,A,True,0.95
q0064,A,D,False,0.9,C,False,0.9,D,False,0.95,D,False,0.95,D,False,0.95
q0065,C,C,True,0.9,C,True,0.9,A,False,0.85,A,False,0.95,C,True,0.85
q0066,D,D,True,0.95,D,True,0.9,D,True,0.95,D,True,0.95,D,True,0.95
q0067,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0068,D,C,False,0.9,D,True,0.9,D,True,0.95,A,False,0.6,D,True,0.9
q0069,A,C,False,0.8,C,False,0.9,C,False,0.95,C,False,0.95,C,False,0.95
q0070,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0071,A,A,True,0.85,A,True,0.8,A,True,0.95,A,True,0.85,C,False,0.95
q0072,C,B,False,0.9,B,False,0.9,E,False,0.95,A,False,0.0,B,False,0.85
q0073,B,B,True,0.9,B,True,0.9,C,False,0.85,C,False,0.85,C,False,0.95
q0074,C,C,True,0.9,C,True,0.9,C,True,0.99,C,True,0.9,C,True,0.99
q0075,A,C,False,0.9,E,False,0.8,B,False,0.85,E,False,0.85,E,False,0.95
q0076,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.85,B,True,0.95
q0077,B,A,False,0.9,A,False,0.9,A,False,0.95,C,False,0.85,D,False,0.85
q0078,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.85
q0079,C,C,True,0.9,C,True,0.95,B,False,0.95,C,True,0.85,C,True,0.95
q0080,B,B,True,0.9,B,True,0.8,B,True,0.95,B,True,0.85,B,True,0.95
q0081,B,D,False,0.9,D,False,0.9,A,False,0.95,E,False,0.85,E,False,0.95
q0082,C,C,True,0.9,E,False,0.6,C,True,0.95,C,True,0.85,C,True,0.95
q0083,B,B,True,0.8,B,True,0.9,E,False,0.85,B,True,0.85,B,True,0.95
q0084,D,D,True,0.9,A,False,0.9,D,True,0.95,D,True,0.85,D,True,0.95
q0085,C,C,True,0.9,C,True,0.9,C,True,0.95,A,False,0.95,C,True,0.85
q0086,C,C,True,0.8,D,False,0.9,D,False,0.95,D,False,0.95,D,False,0.95
q0087,D,D,True,0.8,D,True,0.8,E,False,0.95,E,False,0.85,A,False,0.95
q0088,C,C,True,0.9,C,True,0.85,E,False,0.95,C,True,0.85,C,True,0.95
q0089,C,C,True,0.9,C,True,0.9,A,False,0.95,A,False,0.85,C,True,0.95
q0090,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.95,B,False,0.95
q0091,B,B,True,0.9,B,True,0.9,E,False,0.95,A,False,0.0,B,True,0.95
q0092,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,C,False,0.95
q0093,E,C,False,0.9,D,False,0.8,B,False,0.85,A,False,0.85,A,False,0.95
q0094,C,E,False,0.9,E,False,0.8,A,False,0.95,C,True,0.95,C,True,0.95
q0095,D,D,True,0.9,D,True,0.9,C,False,0.85,C,False,0.8,C,False,0.85
q0096,A,A,True,0.9,A,True,0.9,E,False,0.95,E,False,0.85,E,False,0.6
q0097,B,B,True,0.9,B,True,0.9,B,True,0.85,B,True,0.85,B,True,0.85
q0098,C,C,True,0.9,C,True,0.9,C,True,0.95,B,False,0.95,C,True,0.95
q0099,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0100,E,C,False,0.95,C,False,0.9,C,False,0.95,C,False,0.95,C,False,0.85
q0101,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0102,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0103,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0104,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.85,C,True,0.95
q0105,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0106,C,A,False,0.8,A,False,0.8,C,True,0.95,C,True,0.85,C,True,0.95
q0107,A,D,False,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0108,E,E,True,0.9,B,False,0.9,B,False,0.95,B,False,0.85,A,False,0.95
q0109,C,B,False,0.9,A,False,0.5,A,False,0.0,B,False,0.85,B,False,0.85
q0110,D,D,True,0.8,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.95
q0111,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0112,B,E,False,0.9,C,False,0.9,E,False,0.85,B,True,0.5,D,False,0.85
q0113,D,D,True,0.9,D,True,0.9,A,False,0.95,C,False,0.8,D,True,0.95
q0114,D,C,False,0.85,C,False,0.8,D,True,0.95,D,True,0.85,D,True,0.95
q0115,E,A,False,0.9,E,True,0.95,E,True,0.95,E,True,0.85,E,True,0.95
q0116,D,D,True,0.9,D,True,0.9,A,False,0.95,A,False,0.95,A,False,0.95
q0117,D,D,True,0.8,E,False,0.8,D,True,0.95,D,True,0.85,D,True,0.95
q0118,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.85,E,True,0.95
q0119,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0120,D,D,True,0.9,D,True,0.9,E,False,0.95,D,True,0.85,A,False,0.95
q0121,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0122,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.95,E,True,0.95
q0123,A,A,True,0.9,A,True,0.9,E,False,0.95,A,True,0.5,A,True,0.95
q0124,B,B,True,0.9,B,True,0.8,B,True,0.95,B,True,0.95,B,True,0.85
q0125,A,A,True,0.8,B,False,0.8,E,False,0.95,E,False,0.85,C,False,0.95
q0126,A,A,True,0.9,A,True,0.9,D,False,0.85,A,True,0.85,A,True,0.95
q0127,D,D,True,0.9,D,True,0.9,D,True,0.85,D,True,0.85,D,True,0.95
q0128,A,E,False,0.9,E,False,0.9,E,False,0.95,A,True,0.85,E,False,0.95
q0129,A,A,True,0.9,D,False,0.9,D,False,0.95,A,True,0.5,A,True,0.95
q0130,B,D,False,0.85,D,False,0.9,B,True,0.95,B,True,0.85,A,False,0.85
q0131,B,B,True,0.8,B,True,0.9,B,True,0.85,C,False,0.95,D,False,0.95
q0132,A,A,True,0.85,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0133,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.85,B,True,0.95
q0134,A,A,True,0.9,A,True,0.9,A,True,0.95,C,False,0.8,A,True,0.85
q0135,C,E,False,0.9,C,True,1.0,D,False,0.85,C,True,0.85,E,False,0.95
q0136,D,D,True,0.9,D,True,0.9,A,False,0.95,D,True,0.85,B,False,0.85
q0137,E,D,False,0.9,D,False,0.9,D,False,0.95,D,False,0.8,D,False,0.95
q0138,C,C,True,0.9,A,False,0.9,C,True,0.95,C,True,0.95,A,False,0.95
q0139,D,E,False,0.9,A,False,0.8,A,False,0.95,A,False,0.9,B,False,0.85
q0140,D,B,False,0.9,B,False,0.95,B,False,0.95,B,False,0.95,B,False,0.95
q0141,A,C,False,0.9,C,False,0.9,E,False,0.95,A,True,0.5,E,False,0.95
q0142,A,A,True,0.9,A,True,0.9,A,True,0.95,B,False,0.95,A,True,0.95
q0143,B,B,True,0.9,B,True,0.8,A,False,0.95,B,True,0.95,B,True,0.85
q0144,D,D,True,0.9,D,True,0.9,A,False,0.95,A,False,0.85,D,True,0.85
q0145,D,E,False,0.9,C,False,0.9,E,False,0.95,E,False,0.95,E,False,0.85
q0146,D,E,False,0.9,,False,0.0,D,True,0.85,E,False,0.85,D,True,0.95
q0147,D,D,True,0.8,D,True,0.9,D,True,0.95,D,True,0.95,D,True,0.95
q0148,B,B,True,0.9,B,True,0.85,B,True,0.95,C,False,0.85,B,True,0.95
q0149,E,E,True,0.9,A,False,0.8,A,False,0.95,A,False,0.95,A,False,0.95
q0150,A,B,False,0.9,A,True,0.9,A,True,0.95,A,True,0.85,A,True,0.95
q0151,E,E,True,0.9,B,False,0.9,B,False,0.95,B,False,0.95,B,False,0.95
q0152,A,C,False,0.9,A,True,0.8,A,True,0.95,B,False,0.8,B,False,0.85
q0153,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0154,D,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.95,D,True,0.95
q0155,E,B,False,0.9,B,False,0.9,B,False,0.95,B,False,0.95,C,False,0.95
q0156,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.85,B,True,0.95
q0157,A,C,False,0.9,C,False,0.8,A,True,0.95,A,True,0.95,A,True,0.95
q0158,D,D,True,0.9,C,False,0.8,C,False,0.95,A,False,0.8,D,True,0.95
q0159,C,B,False,0.9,B,False,0.9,B,False,0.95,A,False,0.5,B,False,0.95
q0160,D,E,False,1.0,C,False,1.0,D,True,0.95,E,False,0.95,E,False,0.95
q0161,B,D,False,0.8,D,False,0.8,B,True,0.95,D,False,0.8,B,True,0.95
q0162,D,D,True,0.9,D,True,0.9,D,True,0.85,B,False,0.95,D,True,0.95
q0163,A,C,False,0.9,C,False,0.9,A,True,0.95,D,False,0.85,C,False,0.95
q0164,A,A,True,0.9,B,False,0.9,A,True,0.99,B,False,0.85,A,True,0.85
q0165,B,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.95,B,True,0.95
q0166,B,C,False,0.9,C,False,0.9,B,True,0.95,C,False,0.85,C,False,0.95
q0167,D,D,True,0.85,D,True,0.9,D,True,0.95,D,True,0.8,D,True,0.95
q0168,B,B,True,0.9,B,True,0.9,B,True,0.95,C,False,0.85,B,True,0.95
q0169,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.95,D,True,0.95
q0170,C,D,False,0.9,D,False,0.8,C,True,0.95,C,True,0.85,C,True,0.85
q0171,D,E,False,0.9,A,False,0.8,C,False,0.85,A,False,0.85,D,True,0.95
q0172,C,B,False,0.9,B,False,0.9,B,False,0.95,B,False,0.85,B,False,0.95
q0173,A,A,True,0.9,B,False,0.8,B,False,0.95,E,False,0.85,B,False,0.85
q0174,E,E,True,0.9,E,True,0.9,B,False,0.95,E,True,0.95,E,True,0.95
q0175,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.95,E,False,0.95
q0176,E,B,False,1.0,A,False,1.0,E,True,1.0,B,False,0.95,C,False,0.95
q0177,D,D,True,0.9,D,True,0.95,D,True,0.95,D,True,0.95,D,True,0.95
q0178,D,A,False,0.9,C,False,0.9,A,False,0.95,E,False,0.95,C,False,0.95
q0179,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.95,D,True,0.95
q0180,B,D,False,0.95,D,False,0.9,B,True,0.95,D,False,0.85,A,False,0.95
q0181,E,E,True,0.9,A,False,0.9,A,False,0.95,A,False,0.85,A,False,0.95
q0182,B,B,True,0.9,B,True,0.9,B,True,0.85,E,False,0.95,E,False,0.95
q0183,E,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.85,C,False,0.95
q0184,B,A,False,0.9,A,False,0.9,E,False,0.95,B,True,0.6,A,False,0.95
q0185,D,D,True,0.9,D,True,0.8,D,True,0.95,A,False,0.95,A,False,0.95
q0186,C,C,True,0.9,C,True,0.9,C,True,0.85,C,True,0.85,C,True,0.95
q0187,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0188,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.95,E,True,0.95
q0189,C,C,True,0.9,B,False,0.9,B,False,0.95,B,False,0.85,B,False,0.95
q0190,A,D,False,0.9,D,False,0.8,D,False,0.85,D,False,0.95,D,False,0.95
q0191,D,C,False,0.9,A,False,0.9,A,False,0.85,A,False,0.85,C,False,0.95
q0192,E,E,True,0.9,E,True,0.8,A,False,0.0,E,True,0.95,A,False,0.0
q0193,C,C,True,0.9,C,True,1.0,B,False,0.95,C,True,0.95,B,False,0.95
q0194,C,C,True,0.9,C,True,0.9,C,True,0.95,A,False,0.85,C,True,0.95
q0195,C,C,True,0.8,C,True,0.8,C,True,0.95,C,True,0.95,C,True,0.95
q0196,A,C,False,0.9,C,False,0.9,C,False,0.85,B,False,0.85,E,False,0.85
q0197,C,C,True,0.8,C,True,0.9,C,True,0.85,C,True,0.95,C,True,0.95
q0198,E,C,False,0.9,B,False,0.8,C,False,0.95,C,False,0.85,C,False,0.85
q0199,D,C,False,0.9,A,False,0.9,A,False,0.95,D,True,0.95,A,False,0.95
q0200,B,B,True,0.9,B,True,0.9,C,False,0.95,C,False,0.95,C,False,0.95
q0201,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.85,B,True,0.95
q0202,D,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.95,B,False,0.95
q0203,A,C,False,0.9,D,False,0.8,C,False,0.85,A,True,0.5,C,False,0.95
q0204,C,B,False,0.9,B,False,0.8,A,False,0.95,C,True,0.85,A,False,0.85
q0205,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0206,D,D,True,0.9,D,True,1.0,D,True,0.95,D,True,0.95,D,True,0.95
q0207,A,A,True,0.9,A,True,0.9,D,False,0.95,A,True,0.85,A,True,0.95
q0208,B,D,False,0.95,D,False,1.0,D,False,0.85,D,False,0.85,D,False,0.95
q0209,A,A,True,0.95,A,True,0.9,A,True,0.85,A,True,0.85,A,True,0.9
q0210,C,A,False,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.85
q0211,B,E,False,0.9,D,False,0.9,D,False,0.95,D,False,0.95,E,False,0.95
q0212,E,C,False,0.8,A,False,1.0,C,False,0.85,C,False,0.85,A,False,0.95
q0213,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.95,A,True,0.95
q0214,B,B,True,0.8,B,True,0.9,B,True,0.85,A,False,0.0,A,False,0.95
q0215,D,A,False,0.8,A,False,0.8,D,True,0.95,A,False,0.85,A,False,0.95
q0216,E,E,True,0.8,B,False,0.9,B,False,0.95,B,False,0.85,B,False,0.95
q0217,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.95
q0218,E,E,True,0.8,E,True,0.8,A,False,0.0,E,True,0.95,A,False,0.0
q0219,A,C,False,0.9,C,False,0.9,C,False,0.95,C,False,0.85,C,False,0.95
q0220,D,D,True,0.8,D,True,0.9,B,False,0.85,B,False,0.85,B,False,0.85
q0221,A,C,False,0.9,A,True,0.8,E,False,0.95,A,True,0.95,A,True,0.95
q0222,D,A,False,0.9,A,False,0.8,A,False,0.95,A,False,0.8,A,False,0.85
q0223,A,A,True,0.9,A,True,0.9,A,True,0.95,A,True,0.85,A,True,0.95
q0224,C,B,False,0.9,D,False,0.9,A,False,0.95,A,False,0.0,A,False,0.85
q0225,C,C,True,0.95,C,True,0.95,C,True,0.95,C,True,0.95,A,False,0.0
q0226,D,D,True,0.8,C,False,0.9,C,False,0.95,C,False,0.8,C,False,0.95
q0227,D,B,False,0.9,D,True,0.9,C,False,0.95,C,False,0.85,C,False,0.95
q0228,A,B,False,0.85,B,False,0.9,B,False,0.95,B,False,0.85,B,False,0.95
q0229,E,E,True,0.9,E,True,0.9,E,True,0.95,E,True,0.95,E,True,0.95
q0230,C,C,True,0.9,C,True,0.9,C,True,0.95,C,True,0.95,C,True,0.95
q0231,A,C,False,0.9,C,False,0.95,C,False,0.95,C,False,0.95,C,False,0.95
q0232,D,D,True,0.9,D,True,0.9,D,True,0.95,D,True,0.85,D,True,0.9
q0233,B,B,True,0.9,B,True,0.9,B,True,0.95,B,True,0.95,B,True,0.95
q0234,D,E,False,0.9,E,False,0.5,E,False,0.95,E,False,0.85,E,False,0.95
q0235,B,C,False,0.9,C,False,1.0,B,True,0.95,B,True,0.95,C,False,0.95
q0236,A,A,True,0.9,A,True,1.0,A,True,0.95,A,True,0.0,A,True,0.95
q0237,B,C,False,0.9,C,False,0.9,C,False,0.95,A,False,0.85,C,False,0.85
q0238,B,B,True,0.9,B,True,0.8,A,False,0.8,A,False,0.85,B,True,0.9
q0239,A,A,True,0.9,D,False,0.9,C,False,0.95,E,False,0.95,B,False,0.85
