question_id,correct_answer,V0_pred,V0_correct,V0_conf,V1_pred,V1_correct,V1_conf,V2_pred,V2_correct,V2_conf,V3_pred,V3_correct,V3_conf,V4_pred,V4_correct,V4_conf
q0000,C,B,False,0.5,A,False,0.5,E,False,0.5,A,False,0.5,A,False,0.5
q0001,E,A,False,0.5,E,True,0.5,A,False,0.5,B,False,0.5,E,True,0.5
q0002,C,C,True,0.5,A,False,0.5,E,False,0.5,B,False,0.5,A,False,0.5
q0003,D,B,False,0.5,A,False,0.5,A,False,0.5,A,False,0.5,A,False,0.5
q0004,B,A,False,0.5,D,False,0.5,D,False,0.5,E,False,0.5,E,False,0.5
q0005,E,A,False,0.5,C,False,0.5,A,False,0.5,D,False,0.5,E,True,0.5
q0006,D,A,False,0.0,D,True,0.5,C,False,0.5,C,False,0.5,E,False,0.5
q0007,C,A,False,0.5,A,False,0.5,D,False,0.5,A,False,0.5,E,False,0.5
q0008,C,A,False,0.5,A,False,0.5,C,True,0.5,A,False,0.5,A,False,0.5
q0009,A,A,True,0.5,C,False,0.5,D,False,0.5,C,False,0.5,A,True,0.5
q0010,E,A,False,0.5,A,False,0.5,A,False,0.5,D,False,0.5,D,False,0.5
q0011,D,C,False,0.5,,False,0.5,,False,0.5,A,False,0.5,B,False,0.5
q0012,B,A,False,0.5,A,False,0.5,A,False,0.5,B,True,0.5,A,False,0.5
q0013,E,A,False,0.5,E,True,0.5,D,False,0.5,D,False,0.5,C,False,0.5
q0014,D,B,False,0.5,A,False,0.5,D,True,0.5,D,True,0.5,E,False,0.5
q0015,B,A,False,0.5,E,False,0.5,B,True,0.5,A,False,0.5,A,False,0.5
q0016,E,B,False,0.5,B,False,0.5,E,True,0.5,E,True,0.5,D,False,0.5
q0017,E,C,False,0.5,A,False,0.5,D,False,0.5,A,False,0.5,A,False,0.5
q0018,B,A,False,0.5,A,False,0.5,D,False,0.5,E,False,0.5,A,False,0.5
q0019,E,,False,0.5,A,False,0.5,C,False,0.5,C,False,0.5,A,False,0.5
q0020,C,A,False,0.5,E,False,0.5,D,False,0.5,B,False,0.5,D,False,0.5
q0021,A,A,True,0.5,A,True,0.5,A,True,0.5,E,False,0.5,E,False,0.5
q0022,D,C,False,0.5,A,False,0.5,E,False,0.5,A,False,0.5,A,False,0.5
q0023,E,A,False,0.5,A,False,0.5,E,True,0.5,E,True,0.5,A,False,0.5
q0024,A,A,True,0.5,,False,0.5,,False,0.5,,False,0.5,,False,0.5
q0025,E,A,False,0.5,D,False,0.5,E,True,0.5,D,False,0.5,A,False,0.5
